"","Var1","Freq","Proportion","Sex","Tissue","Hybrid"
"1","Additive",698,0.0534170046682483,"F","G","H1"
"2","ambiguous",1870,0.143108594168516,"F","G","H1"
"3","C. latens dominant",1247,0.0954312389990051,"F","G","H1"
"4","C. remanei dominant",1286,0.0984158567383485,"F","G","H1"
"5","no change",2728,0.208770184434071,"F","G","H1"
"6","Overdominant",3203,0.245121297926073,"F","G","H1"
"7","Underdominant",2035,0.155735823065738,"F","G","H1"
"8","Additive",399,0.0305372723098117,"F","G","H2"
"9","ambiguous",2415,0.184830858717281,"F","G","H2"
"10","C. latens dominant",1474,0.112811878157049,"F","G","H2"
"11","C. remanei dominant",1288,0.0985764579825501,"F","G","H2"
"12","no change",3619,0.276978417266187,"F","G","H2"
"13","Overdominant",3060,0.234195622225624,"F","G","H2"
"14","Underdominant",811,0.062069493341497,"F","G","H2"
"15","Additive",676,0.0522855595947096,"F","S","H1"
"16","ambiguous",2551,0.197308376517905,"F","S","H1"
"17","C. latens dominant",1147,0.0887152912058164,"F","S","H1"
"18","C. remanei dominant",1582,0.122360584731998,"F","S","H1"
"19","no change",3044,0.235439709180911,"F","S","H1"
"20","Overdominant",2523,0.195142702451852,"F","S","H1"
"21","Underdominant",1406,0.108747776316807,"F","S","H1"
"22","Additive",572,0.0442416273493696,"F","S","H2"
"23","ambiguous",2228,0.172325779255936,"F","S","H2"
"24","C. latens dominant",1304,0.100858535076185,"F","S","H2"
"25","C. remanei dominant",1444,0.111686905406451,"F","S","H2"
"26","no change",3189,0.246654807022972,"F","S","H2"
"27","Overdominant",2426,0.187640188723026,"F","S","H2"
"28","Underdominant",1766,0.136592157166061,"F","S","H2"
"29","Additive",686,0.0509506833036245,"M","S","H1"
"30","ambiguous",2424,0.180035650623886,"M","S","H1"
"31","C. latens dominant",995,0.0739007724301842,"M","S","H1"
"32","C. remanei dominant",845,0.0627599524658348,"M","S","H1"
"33","no change",4477,0.332516339869281,"M","S","H1"
"34","Overdominant",2558,0.189988116458705,"M","S","H1"
"35","Underdominant",1479,0.109848484848485,"M","S","H1"
"36","Additive",611,0.0453802733214498,"M","S","H2"
"37","ambiguous",2596,0.19281045751634,"M","S","H2"
"38","C. latens dominant",1098,0.0815508021390374,"M","S","H2"
"39","C. remanei dominant",776,0.0576351752822341,"M","S","H2"
"40","no change",4777,0.35479797979798,"M","S","H2"
"41","Overdominant",2649,0.19674688057041,"M","S","H2"
"42","Underdominant",957,0.071078431372549,"M","S","H2"
"43","Additive",924,0.068551079456933,"M","W","H1"
"44","ambiguous",1667,0.12367386304622,"M","W","H1"
"45","C. latens dominant",1794,0.133095926997552,"M","W","H1"
"46","C. remanei dominant",1521,0.112842198976185,"M","W","H1"
"47","no change",1989,0.147562875584242,"M","W","H1"
"48","Overdominant",3047,0.226055345352029,"M","W","H1"
"49","Underdominant",2537,0.188218710586839,"M","W","H1"
"50","Additive",762,0.0565323837079902,"M","W","H2"
"51","ambiguous",1800,0.133541063877142,"M","W","H2"
"52","C. latens dominant",1768,0.131167000519326,"M","W","H2"
"53","C. remanei dominant",1264,0.0937755026337265,"M","W","H2"
"54","no change",1743,0.129312263521033,"M","W","H2"
"55","Overdominant",3453,0.256176274204318,"M","W","H2"
"56","Underdominant",2689,0.199495511536464,"M","W","H2"
"57","Additive",775,0.0604288499025341,"M","G","H2"
"58","ambiguous",2862,0.223157894736842,"M","G","H2"
"59","C. latens dominant",1288,0.100428849902534,"M","G","H2"
"60","C. remanei dominant",508,0.0396101364522417,"M","G","H2"
"61","no change",3146,0.245302144249513,"M","G","H2"
"62","Overdominant",2866,0.223469785575049,"M","G","H2"
"63","Underdominant",1380,0.107602339181287,"M","G","H2"
